WAFER_ID,n_stable_segment,b_stable,b_stable_update
-873170346,5,"[0, 16, 16, 146, 146, 167, 167, 175, 175, 195]","[0, 16, 146, 167, 175, 195]"
-873170338,5,"[0, 16, 16, 144, 144, 164, 164, 174, 174, 191]","[0, 16, 144, 164, 174, 191]"
-873170334,5,"[0, 8, 8, 135, 135, 156, 156, 166, 166, 184]","[0, 8, 135, 156, 166, 184]"
-873170318,5,"[0, 15, 15, 139, 139, 159, 159, 169, 169, 187]","[0, 15, 139, 159, 169, 187]"
-873170306,5,"[0, 16, 16, 144, 144, 165, 165, 178, 178, 193]","[0, 16, 144, 165, 178, 193]"
-873170272,5,"[0, 17, 17, 146, 146, 167, 167, 177, 177, 195]","[0, 17, 146, 167, 177, 195]"
-873170248,5,"[0, 17, 17, 150, 150, 171, 171, 181, 181, 198]","[0, 17, 150, 171, 181, 198]"
29494096,5,"[0, 18, 18, 136, 136, 156, 156, 166, 166, 183]","[0, 18, 136, 156, 166, 183]"
29494108,5,"[0, 17, 17, 134, 134, 155, 155, 166, 166, 182]","[0, 17, 134, 155, 166, 182]"
29494116,5,"[0, 17, 17, 132, 132, 153, 153, 163, 163, 181]","[0, 17, 132, 153, 163, 181]"
29494136,5,"[0, 19, 19, 135, 135, 156, 156, 166, 166, 183]","[0, 19, 135, 156, 166, 183]"
29494154,5,"[0, 12, 12, 127, 127, 146, 146, 157, 157, 166]","[0, 12, 127, 146, 157, 166]"
29494162,5,"[0, 5, 5, 113, 113, 130, 130, 147, 147, 164]","[0, 5, 113, 130, 147, 164]"
29494170,5,"[0, 17, 17, 135, 135, 155, 155, 165, 165, 182]","[0, 17, 135, 155, 165, 182]"
31494168,5,"[0, 17, 17, 133, 133, 152, 152, 163, 163, 180]","[0, 17, 133, 152, 163, 180]"
31494350,5,"[0, 11, 11, 125, 125, 145, 145, 155, 155, 172]","[0, 11, 125, 145, 155, 172]"
31494354,5,"[0, 17, 17, 134, 134, 156, 156, 166, 166, 182]","[0, 17, 134, 156, 166, 182]"
31494362,5,"[0, 17, 17, 136, 136, 155, 155, 165, 165, 183]","[0, 17, 136, 155, 165, 183]"
31494370,5,"[0, 18, 18, 134, 134, 155, 155, 165, 165, 182]","[0, 18, 134, 155, 165, 182]"
31494374,5,"[0, 20, 20, 135, 135, 156, 156, 166, 166, 184]","[0, 20, 135, 156, 166, 184]"
31494378,5,"[0, 17, 17, 132, 132, 153, 153, 163, 163, 181]","[0, 17, 132, 153, 163, 181]"
33494116,5,"[0, 20, 20, 139, 139, 159, 159, 169, 169, 186]","[0, 20, 139, 159, 169, 186]"
33494120,5,"[0, 5, 5, 122, 122, 143, 143, 153, 153, 171]","[0, 5, 122, 143, 153, 171]"
33494136,5,"[0, 8, 8, 127, 127, 150, 150, 160, 160, 176]","[0, 8, 127, 150, 160, 176]"
33494166,5,"[0, 10, 10, 131, 131, 150, 150, 161, 161, 178]","[0, 10, 131, 150, 161, 178]"
35494162,5,"[0, 17, 17, 130, 130, 151, 151, 162, 162, 178]","[0, 17, 130, 151, 162, 178]"
35494392,5,"[0, 18, 18, 138, 138, 159, 159, 169, 169, 186]","[0, 18, 138, 159, 169, 186]"
37494386,5,"[0, 20, 20, 137, 137, 156, 156, 167, 167, 184]","[0, 20, 137, 156, 167, 184]"
37494408,5,"[0, 18, 18, 135, 135, 155, 155, 165, 165, 182]","[0, 18, 135, 155, 165, 182]"
37494420,5,"[0, 20, 20, 139, 139, 160, 160, 171, 171, 187]","[0, 20, 139, 160, 171, 187]"
37494428,5,"[0, 17, 17, 132, 132, 151, 151, 162, 162, 178]","[0, 17, 132, 151, 162, 178]"
37494432,5,"[0, 20, 20, 138, 138, 159, 159, 169, 169, 187]","[0, 20, 138, 159, 169, 187]"
37494444,5,"[0, 19, 19, 139, 139, 160, 160, 171, 171, 188]","[0, 19, 139, 160, 171, 188]"
39494162,5,"[0, 19, 19, 135, 135, 155, 155, 165, 165, 182]","[0, 19, 135, 155, 165, 182]"
39494170,5,"[0, 20, 20, 134, 134, 155, 155, 165, 165, 182]","[0, 20, 134, 155, 165, 182]"
39494368,5,"[0, 17, 17, 136, 136, 158, 158, 168, 168, 185]","[0, 17, 136, 158, 168, 185]"
39494376,5,"[0, 18, 18, 137, 137, 158, 158, 169, 169, 185]","[0, 18, 137, 158, 169, 185]"
39494380,5,"[0, 21, 21, 135, 135, 156, 156, 166, 166, 183]","[0, 21, 135, 156, 166, 183]"
39494388,5,"[0, 20, 20, 137, 137, 159, 159, 169, 169, 185]","[0, 20, 137, 159, 169, 185]"
41494394,5,"[0, 20, 20, 137, 137, 158, 158, 168, 168, 185]","[0, 20, 137, 158, 168, 185]"
41494428,5,"[0, 17, 17, 133, 133, 154, 154, 165, 165, 182]","[0, 17, 133, 154, 165, 182]"
41494452,5,"[0, 11, 11, 135, 135, 155, 155, 165, 165, 184]","[0, 11, 135, 155, 165, 184]"
43494166,5,"[0, 32, 32, 151, 151, 170, 170, 181, 181, 198]","[0, 32, 151, 170, 181, 198]"
43494170,5,"[0, 20, 20, 136, 136, 157, 157, 167, 167, 184]","[0, 20, 136, 157, 167, 184]"
43494178,5,"[0, 17, 17, 134, 134, 155, 155, 165, 165, 182]","[0, 17, 134, 155, 165, 182]"
43494194,5,"[0, 17, 17, 135, 135, 156, 156, 166, 166, 183]","[0, 17, 135, 156, 166, 183]"
43494206,5,"[0, 17, 17, 134, 134, 155, 155, 165, 165, 182]","[0, 17, 134, 155, 165, 182]"
43494368,5,"[0, 16, 16, 133, 133, 155, 155, 165, 165, 182]","[0, 16, 133, 155, 165, 182]"
1270253716,5,"[0, 20, 20, 144, 144, 165, 165, 175, 175, 192]","[0, 20, 144, 165, 175, 192]"
1270253720,5,"[0, 20, 20, 134, 134, 154, 154, 164, 164, 181]","[0, 20, 134, 154, 164, 181]"
1270253728,5,"[0, 20, 20, 133, 133, 154, 154, 165, 165, 181]","[0, 20, 133, 154, 165, 181]"
1272253470,5,"[0, 4, 4, 116, 116, 136, 136, 146, 146, 163]","[0, 4, 116, 136, 146, 163]"
1272253486,5,"[0, 17, 17, 131, 131, 151, 151, 161, 161, 178]","[0, 17, 131, 151, 161, 178]"
1276253498,5,"[0, 20, 20, 133, 133, 154, 154, 164, 164, 181]","[0, 20, 133, 154, 164, 181]"
1276253502,5,"[0, 16, 16, 127, 127, 141, 141, 145, 145, 173]","[0, 16, 127, 141, 145, 173]"
1276253688,5,"[0, 20, 20, 132, 132, 152, 152, 162, 162, 179]","[0, 20, 132, 152, 162, 179]"
1286253654,5,"[0, 18, 18, 135, 135, 156, 156, 167, 167, 183]","[0, 18, 135, 156, 167, 183]"
1286253712,5,"[0, 19, 19, 137, 137, 158, 158, 168, 168, 185]","[0, 19, 137, 158, 168, 185]"
1286253720,5,"[0, 16, 16, 136, 136, 155, 155, 166, 166, 183]","[0, 16, 136, 155, 166, 183]"
1286253728,5,"[0, 18, 18, 135, 135, 156, 156, 166, 166, 184]","[0, 18, 135, 156, 166, 184]"
1286253732,5,"[0, 17, 17, 133, 133, 152, 152, 163, 163, 180]","[0, 17, 133, 152, 163, 180]"
1286253752,5,"[0, 17, 17, 130, 130, 152, 152, 163, 163, 180]","[0, 17, 130, 152, 163, 180]"
1288253454,5,"[0, 17, 17, 134, 134, 155, 155, 165, 165, 181]","[0, 17, 134, 155, 165, 181]"
1288253458,5,"[0, 20, 20, 137, 137, 158, 158, 168, 168, 185]","[0, 20, 137, 158, 168, 185]"
1288253462,5,"[0, 16, 16, 132, 132, 153, 153, 164, 164, 181]","[0, 16, 132, 153, 164, 181]"
1288253470,5,"[0, 18, 18, 136, 136, 155, 155, 166, 166, 183]","[0, 18, 136, 155, 166, 183]"
1288253474,5,"[0, 20, 20, 137, 137, 158, 158, 168, 168, 186]","[0, 20, 137, 158, 168, 186]"
1288253478,5,"[0, 20, 20, 140, 140, 159, 159, 169, 169, 186]","[0, 20, 140, 159, 169, 186]"
1288253482,5,"[0, 16, 16, 130, 130, 150, 150, 161, 161, 178]","[0, 16, 130, 150, 161, 178]"
1288253490,5,"[0, 17, 17, 135, 135, 155, 155, 165, 165, 182]","[0, 17, 135, 155, 165, 182]"
1288253494,5,"[0, 17, 17, 134, 134, 155, 155, 165, 165, 183]","[0, 17, 134, 155, 165, 183]"
1288253502,5,"[0, 16, 16, 133, 133, 154, 154, 164, 164, 181]","[0, 16, 133, 154, 164, 181]"
1288253648,5,"[0, 17, 17, 133, 133, 155, 155, 165, 165, 182]","[0, 17, 133, 155, 165, 182]"
1290253650,5,"[0, 6, 6, 122, 122, 141, 141, 151, 151, 168]","[0, 6, 122, 141, 151, 168]"
1290253654,5,"[0, 20, 20, 135, 135, 156, 156, 166, 166, 184]","[0, 20, 135, 156, 166, 184]"
1290253662,5,"[0, 17, 17, 131, 131, 151, 151, 161, 161, 178]","[0, 17, 131, 151, 161, 178]"
1290253716,5,"[0, 12, 12, 125, 125, 146, 146, 157, 157, 174]","[0, 12, 125, 146, 157, 174]"
1290253728,5,"[0, 17, 17, 129, 129, 150, 150, 159, 159, 178]","[0, 17, 129, 150, 159, 178]"
1290253732,5,"[0, 10, 10, 125, 125, 140, 140, 156, 156, 173]","[0, 10, 125, 140, 156, 173]"
1290253744,5,"[0, 20, 20, 136, 136, 157, 157, 167, 167, 184]","[0, 20, 136, 157, 167, 184]"
1290253756,5,"[0, 19, 19, 134, 134, 154, 154, 164, 164, 181]","[0, 19, 134, 154, 164, 181]"
1292253514,5,"[0, 19, 19, 133, 133, 154, 154, 164, 164, 181]","[0, 19, 133, 154, 164, 181]"
1292253518,5,"[0, 17, 17, 135, 135, 156, 156, 166, 166, 184]","[0, 17, 135, 156, 166, 184]"
1292253526,5,"[0, 20, 20, 139, 139, 160, 160, 170, 170, 187]","[0, 20, 139, 160, 170, 187]"
1292253534,5,"[0, 20, 20, 135, 135, 156, 156, 167, 167, 183]","[0, 20, 135, 156, 167, 183]"
1292253608,5,"[0, 16, 16, 132, 132, 153, 153, 163, 163, 180]","[0, 16, 132, 153, 163, 180]"
1292253612,5,"[0, 17, 17, 134, 134, 155, 155, 165, 165, 182]","[0, 17, 134, 155, 165, 182]"
1294253602,5,"[0, 18, 18, 128, 128, 149, 149, 161, 161, 177]","[0, 18, 128, 149, 161, 177]"
1294253610,5,"[0, 20, 20, 139, 139, 159, 159, 164, 164, 186]","[0, 20, 139, 159, 164, 186]"
1294253796,5,"[0, 20, 20, 137, 137, 157, 157, 167, 167, 184]","[0, 20, 137, 157, 167, 184]"
1294253808,5,"[0, 31, 31, 148, 148, 169, 169, 179, 179, 197]","[0, 31, 148, 169, 179, 197]"
1296253506,5,"[0, 18, 18, 133, 133, 154, 154, 164, 164, 185]","[0, 18, 133, 154, 164, 185]"
1296253510,5,"[0, 13, 13, 126, 126, 147, 147, 156, 156, 167]","[0, 13, 126, 147, 156, 167]"
1296253518,5,"[0, 17, 17, 129, 129, 150, 150, 162, 162, 174]","[0, 17, 129, 150, 162, 174]"
1296253538,5,"[0, 19, 19, 134, 134, 154, 154, 164, 164, 181]","[0, 19, 134, 154, 164, 181]"
1296253550,5,"[0, 17, 17, 131, 131, 151, 151, 161, 161, 176]","[0, 17, 131, 151, 161, 176]"
1296253558,5,"[0, 15, 15, 133, 133, 154, 154, 164, 164, 181]","[0, 15, 133, 154, 164, 181]"
1296253608,5,"[0, 5, 5, 118, 118, 139, 139, 150, 150, 167]","[0, 5, 118, 139, 150, 167]"
1300253518,5,"[0, 17, 17, 135, 135, 155, 155, 165, 165, 182]","[0, 17, 135, 155, 165, 182]"
1300253526,5,"[0, 20, 20, 138, 138, 159, 159, 169, 169, 186]","[0, 20, 138, 159, 169, 186]"
1300253600,5,"[0, 20, 20, 137, 137, 159, 159, 170, 170, 187]","[0, 20, 137, 159, 170, 187]"
1300253620,5,"[0, 17, 17, 132, 132, 152, 152, 162, 162, 179]","[0, 17, 132, 152, 162, 179]"
1302253578,5,"[0, 13, 13, 136, 136, 155, 155, 166, 166, 183]","[0, 13, 136, 155, 166, 183]"
1302253764,5,"[0, 9, 9, 123, 123, 143, 143, 153, 153, 170]","[0, 9, 123, 143, 153, 170]"
1302253792,5,"[0, 18, 18, 132, 132, 153, 153, 164, 164, 181]","[0, 18, 132, 153, 164, 181]"
1304253534,5,"[0, 18, 18, 132, 132, 153, 153, 163, 163, 180]","[0, 18, 132, 153, 163, 180]"
1304253554,5,"[0, 12, 12, 128, 128, 149, 149, 159, 159, 175]","[0, 12, 128, 149, 159, 175]"
1304253562,5,"[0, 20, 20, 136, 136, 157, 157, 168, 168, 185]","[0, 20, 136, 157, 168, 185]"
1304253566,5,"[0, 17, 17, 136, 136, 156, 156, 166, 166, 183]","[0, 17, 136, 156, 166, 183]"
1304253572,5,"[0, 18, 18, 135, 135, 154, 154, 165, 165, 181]","[0, 18, 135, 154, 165, 181]"
1306253578,5,"[0, 19, 19, 138, 138, 159, 159, 169, 169, 187]","[0, 19, 138, 159, 169, 187]"
1306253582,5,"[0, 20, 20, 138, 138, 159, 159, 169, 169, 187]","[0, 20, 138, 159, 169, 187]"
1306253590,5,"[0, 16, 16, 128, 128, 150, 150, 161, 161, 177]","[0, 16, 128, 150, 161, 177]"
1306253764,5,"[0, 17, 17, 135, 135, 156, 156, 166, 166, 184]","[0, 17, 135, 156, 166, 184]"
1306253772,5,"[0, 21, 21, 139, 139, 158, 158, 169, 169, 185]","[0, 21, 139, 158, 169, 185]"
1306253780,5,"[0, 17, 17, 134, 134, 155, 155, 166, 166, 181]","[0, 17, 134, 155, 166, 181]"
1306253800,5,"[0, 18, 18, 134, 134, 155, 155, 166, 166, 183]","[0, 18, 134, 155, 166, 183]"
1306253804,5,"[0, 14, 14, 132, 132, 153, 153, 163, 163, 181]","[0, 14, 132, 153, 163, 181]"
1308253522,5,"[0, 23, 23, 142, 142, 163, 163, 173, 173, 193]","[0, 23, 142, 163, 173, 193]"
1308253526,5,"[0, 17, 17, 133, 133, 154, 154, 164, 164, 181]","[0, 17, 133, 154, 164, 181]"
1308253546,5,"[0, 7, 7, 128, 128, 147, 147, 158, 158, 175]","[0, 7, 128, 147, 158, 175]"
1308253550,5,"[0, 16, 16, 131, 131, 152, 152, 162, 162, 179]","[0, 16, 131, 152, 162, 179]"
1308253554,5,"[0, 17, 17, 136, 136, 157, 157, 167, 167, 184]","[0, 17, 136, 157, 167, 184]"
1308253576,5,"[0, 18, 18, 133, 133, 153, 153, 163, 163, 180]","[0, 18, 133, 153, 163, 180]"
1308253584,5,"[0, 4, 4, 122, 122, 143, 143, 153, 153, 179]","[0, 4, 122, 143, 153, 179]"
1308253592,5,"[0, 18, 18, 137, 137, 157, 157, 167, 167, 184]","[0, 18, 137, 157, 167, 184]"
1308253596,5,"[0, 6, 6, 124, 124, 143, 143, 154, 154, 171]","[0, 6, 124, 143, 154, 171]"
1310253570,5,"[0, 18, 18, 138, 138, 158, 158, 168, 168, 185]","[0, 18, 138, 158, 168, 185]"
1310253586,5,"[0, 18, 18, 130, 130, 150, 150, 159, 159, 172]","[0, 18, 130, 150, 159, 172]"
1310253816,5,"[0, 17, 17, 134, 134, 154, 154, 164, 164, 181]","[0, 17, 134, 154, 164, 181]"
1310253820,5,"[0, 20, 20, 139, 139, 160, 160, 170, 170, 187]","[0, 20, 139, 160, 170, 187]"
1312253522,5,"[0, 20, 20, 136, 136, 156, 156, 166, 166, 184]","[0, 20, 136, 156, 166, 184]"
1312253530,5,"[0, 17, 17, 133, 133, 154, 154, 163, 163, 182]","[0, 17, 133, 154, 163, 182]"
1312253546,5,"[0, 20, 20, 136, 136, 156, 156, 166, 166, 183]","[0, 20, 136, 156, 166, 183]"
1312253554,5,"[0, 20, 20, 132, 132, 153, 153, 163, 163, 180]","[0, 20, 132, 153, 163, 180]"
1312253566,5,"[0, 18, 18, 134, 134, 154, 154, 164, 164, 181]","[0, 18, 134, 154, 164, 181]"
1312253596,5,"[0, 12, 12, 131, 131, 152, 152, 162, 162, 179]","[0, 12, 131, 152, 162, 179]"
1314253568,5,"[0, 17, 17, 133, 133, 153, 153, 163, 163, 181]","[0, 17, 133, 153, 163, 181]"
1314253576,5,"[0, 15, 15, 130, 130, 150, 150, 160, 160, 177]","[0, 15, 130, 150, 160, 177]"
1314253592,5,"[0, 21, 21, 138, 138, 158, 158, 168, 168, 185]","[0, 21, 138, 158, 168, 185]"
1314253596,5,"[0, 18, 18, 137, 137, 156, 156, 167, 167, 184]","[0, 18, 137, 156, 167, 184]"
1314253604,5,"[0, 19, 19, 134, 134, 155, 155, 165, 165, 183]","[0, 19, 134, 155, 165, 183]"
1314253628,5,"[0, 20, 20, 136, 136, 157, 157, 167, 167, 185]","[0, 20, 136, 157, 167, 185]"
1314253794,5,"[0, 18, 18, 134, 134, 149, 149, 167, 167, 182]","[0, 18, 134, 149, 167, 182]"
1314253798,5,"[0, 18, 18, 134, 134, 155, 155, 165, 165, 183]","[0, 18, 134, 155, 165, 183]"
1314253822,5,"[0, 19, 19, 132, 132, 151, 151, 163, 163, 179]","[0, 19, 132, 151, 163, 179]"
1316253792,5,"[0, 16, 16, 132, 132, 152, 152, 162, 162, 179]","[0, 16, 132, 152, 162, 179]"
1316253804,5,"[0, 5, 5, 121, 121, 141, 141, 151, 151, 168]","[0, 5, 121, 141, 151, 168]"
1316253826,5,"[0, 18, 18, 135, 135, 155, 155, 165, 165, 182]","[0, 18, 135, 155, 165, 182]"
1316253838,5,"[0, 16, 16, 132, 132, 152, 152, 163, 163, 180]","[0, 16, 132, 152, 163, 180]"
1316253846,5,"[0, 18, 18, 133, 133, 152, 152, 163, 163, 180]","[0, 18, 133, 152, 163, 180]"
1316253850,5,"[0, 17, 17, 129, 129, 148, 148, 159, 159, 176]","[0, 17, 129, 148, 159, 176]"
1316253858,5,"[0, 16, 16, 137, 137, 158, 158, 168, 168, 186]","[0, 16, 137, 158, 168, 186]"
1316253870,5,"[0, 20, 20, 135, 135, 154, 154, 165, 165, 182]","[0, 20, 135, 154, 165, 182]"
1318253584,5,"[0, 11, 11, 120, 120, 139, 139, 150, 150, 168]","[0, 11, 120, 139, 150, 168]"
1318253608,5,"[0, 17, 17, 127, 127, 142, 142, 146, 146, 175]","[0, 17, 127, 142, 146, 175]"
1322253616,5,"[0, 21, 21, 138, 138, 158, 158, 168, 168, 185]","[0, 21, 138, 158, 168, 185]"
1322253620,5,"[0, 16, 16, 134, 134, 156, 156, 166, 166, 183]","[0, 16, 134, 156, 166, 183]"
1324253768,5,"[0, 18, 18, 132, 132, 153, 153, 163, 163, 181]","[0, 18, 132, 153, 163, 181]"
1328253862,5,"[0, 18, 18, 134, 134, 155, 155, 166, 166, 183]","[0, 18, 134, 155, 166, 183]"
1330253600,5,"[0, 17, 17, 132, 132, 153, 153, 163, 163, 180]","[0, 17, 132, 153, 163, 180]"
1330253620,5,"[0, 20, 20, 138, 138, 158, 158, 168, 168, 185]","[0, 20, 138, 158, 168, 185]"
1330253782,5,"[0, 18, 18, 135, 135, 155, 155, 165, 165, 182]","[0, 18, 135, 155, 165, 182]"
1332253854,5,"[0, 17, 17, 132, 132, 152, 152, 162, 162, 179]","[0, 17, 132, 152, 162, 179]"
1332253886,5,"[0, 5, 5, 121, 121, 142, 142, 153, 153, 169]","[0, 5, 121, 142, 153, 169]"
1451738948,5,"[0, 20, 20, 134, 134, 154, 154, 164, 164, 181]","[0, 20, 134, 154, 164, 181]"
1451738960,5,"[0, 16, 16, 123, 123, 150, 150, 160, 160, 177]","[0, 16, 123, 150, 160, 177]"
1451738976,5,"[0, 17, 17, 129, 129, 150, 150, 160, 160, 174]","[0, 17, 129, 150, 160, 174]"
1451738980,5,"[0, 19, 19, 135, 135, 154, 154, 165, 165, 182]","[0, 19, 135, 154, 165, 182]"
1451738988,5,"[0, 17, 17, 129, 129, 150, 150, 160, 160, 176]","[0, 17, 129, 150, 160, 176]"
1462254272,5,"[0, 10, 10, 120, 120, 144, 144, 154, 154, 174]","[0, 10, 120, 144, 154, 174]"
1462254280,5,"[0, 18, 18, 131, 131, 151, 151, 161, 161, 177]","[0, 18, 131, 151, 161, 177]"
1462254288,5,"[0, 17, 17, 125, 125, 149, 149, 159, 159, 184]","[0, 17, 125, 149, 159, 184]"
1462254300,5,"[0, 15, 15, 127, 127, 147, 147, 157, 157, 172]","[0, 15, 127, 147, 157, 172]"
1462254316,5,"[0, 15, 15, 128, 128, 148, 148, 158, 158, 172]","[0, 15, 128, 148, 158, 172]"
1464254022,5,"[0, 17, 17, 131, 131, 152, 152, 160, 160, 179]","[0, 17, 131, 152, 160, 179]"
1464254026,5,"[0, 16, 16, 133, 133, 154, 154, 165, 165, 182]","[0, 16, 133, 154, 165, 182]"
1464254140,5,"[0, 5, 5, 111, 111, 132, 132, 140, 140, 160]","[0, 5, 111, 132, 140, 160]"
1471738964,5,"[0, 20, 20, 146, 146, 167, 167, 177, 177, 195]","[0, 20, 146, 167, 177, 195]"
1471738972,5,"[0, 20, 20, 143, 143, 164, 164, 174, 174, 191]","[0, 20, 143, 164, 174, 191]"
1475739234,5,"[0, 17, 17, 141, 141, 161, 161, 171, 171, 188]","[0, 17, 141, 161, 171, 188]"
1475739238,5,"[0, 16, 16, 135, 135, 156, 156, 166, 166, 184]","[0, 16, 135, 156, 166, 184]"
1475739242,5,"[0, 17, 17, 139, 139, 158, 158, 169, 169, 186]","[0, 17, 139, 158, 169, 186]"
1475739250,5,"[0, 10, 10, 123, 123, 144, 144, 154, 154, 171]","[0, 10, 123, 144, 154, 171]"
1475739276,5,"[0, 20, 20, 131, 131, 152, 152, 163, 163, 180]","[0, 20, 131, 152, 163, 180]"
1475739292,5,"[0, 18, 18, 143, 143, 163, 163, 172, 172, 191]","[0, 18, 143, 163, 172, 191]"
1477739054,5,"[0, 17, 17, 137, 137, 158, 158, 167, 167, 186]","[0, 17, 137, 158, 167, 186]"
1477739062,5,"[0, 20, 20, 143, 143, 164, 164, 174, 174, 192]","[0, 20, 143, 164, 174, 192]"
1477739240,5,"[0, 21, 21, 141, 141, 162, 162, 172, 172, 190]","[0, 21, 141, 162, 172, 190]"
1478254296,5,"[0, 17, 17, 131, 131, 150, 150, 162, 162, 184]","[0, 17, 131, 150, 162, 184]"
1478254304,5,"[0, 14, 14, 138, 138, 159, 159, 168, 168, 186]","[0, 14, 138, 159, 168, 186]"
1478254316,5,"[0, 18, 18, 132, 132, 153, 153, 163, 163, 180]","[0, 18, 132, 153, 163, 180]"
1478254324,5,"[0, 17, 17, 136, 136, 156, 156, 166, 166, 183]","[0, 17, 136, 156, 166, 183]"
1478254328,5,"[0, 18, 18, 136, 136, 157, 157, 167, 167, 184]","[0, 18, 136, 157, 167, 184]"
1479739258,5,"[0, 18, 18, 134, 134, 154, 154, 164, 164, 181]","[0, 18, 134, 154, 164, 181]"
1480254034,5,"[0, 17, 17, 139, 139, 159, 159, 169, 169, 186]","[0, 17, 139, 159, 169, 186]"
1480254038,5,"[0, 24, 24, 152, 152, 173, 173, 184, 184, 200]","[0, 24, 152, 173, 184, 200]"
1480254058,5,"[0, 19, 19, 139, 139, 160, 160, 170, 170, 187]","[0, 19, 139, 160, 170, 187]"
1480254062,5,"[0, 16, 16, 133, 133, 154, 154, 165, 165, 182]","[0, 16, 133, 154, 165, 182]"
1480254066,5,"[0, 20, 20, 140, 140, 162, 162, 172, 172, 189]","[0, 20, 140, 162, 172, 189]"
1480254074,5,"[0, 9, 9, 127, 127, 149, 149, 163, 163, 177]","[0, 9, 127, 149, 163, 177]"
1480254096,5,"[0, 19, 19, 134, 134, 154, 154, 163, 163, 181]","[0, 19, 134, 154, 163, 181]"
1480254108,5,"[0, 17, 17, 134, 134, 154, 154, 164, 164, 169]","[0, 17, 134, 154, 164, 169]"
1481739014,5,"[0, 16, 16, 134, 134, 155, 155, 165, 165, 182]","[0, 16, 134, 155, 165, 182]"
1481739022,5,"[0, 16, 16, 132, 132, 153, 153, 164, 164, 181]","[0, 16, 132, 153, 164, 181]"
1481739038,5,"[0, 17, 17, 128, 128, 149, 149, 159, 159, 177]","[0, 17, 128, 149, 159, 177]"
1482254086,5,"[0, 18, 18, 138, 138, 157, 157, 168, 168, 185]","[0, 18, 138, 157, 168, 185]"
1482254276,5,"[0, 17, 17, 136, 136, 155, 155, 166, 166, 183]","[0, 17, 136, 155, 166, 183]"
1482254296,5,"[0, 17, 17, 133, 133, 154, 154, 164, 164, 182]","[0, 17, 133, 154, 164, 182]"
1482254300,5,"[0, 17, 17, 133, 133, 154, 154, 164, 164, 182]","[0, 17, 133, 154, 164, 182]"
1484254312,5,"[0, 18, 18, 130, 130, 151, 151, 161, 161, 178]","[0, 18, 130, 151, 161, 178]"
1484254316,5,"[0, 17, 17, 135, 135, 156, 156, 166, 166, 183]","[0, 17, 135, 156, 166, 183]"
1484254328,5,"[0, 20, 20, 139, 139, 160, 160, 170, 170, 188]","[0, 20, 139, 160, 170, 188]"
1484254338,5,"[0, 5, 5, 126, 126, 146, 146, 156, 156, 173]","[0, 5, 126, 146, 156, 173]"
1484254342,5,"[0, 18, 18, 138, 138, 159, 159, 170, 170, 186]","[0, 18, 138, 159, 170, 186]"
1484254346,5,"[0, 16, 16, 138, 138, 157, 157, 167, 167, 184]","[0, 16, 138, 157, 167, 184]"
1484254358,5,"[0, 12, 12, 140, 140, 147, 147, 164, 164, 187]","[0, 12, 140, 147, 164, 187]"
1484254366,5,"[0, 17, 17, 137, 137, 157, 157, 167, 167, 184]","[0, 17, 137, 157, 167, 184]"
1484254370,5,"[0, 5, 5, 117, 117, 138, 138, 148, 148, 165]","[0, 5, 117, 138, 148, 165]"
1484254374,5,"[0, 17, 17, 136, 136, 157, 157, 167, 167, 185]","[0, 17, 136, 157, 167, 185]"
1484254378,5,"[0, 17, 17, 136, 136, 156, 156, 168, 168, 185]","[0, 17, 136, 156, 168, 185]"
1484254382,5,"[0, 19, 19, 137, 137, 159, 159, 168, 168, 186]","[0, 19, 137, 159, 168, 186]"
1486254080,5,"[0, 18, 18, 134, 134, 154, 154, 164, 164, 185]","[0, 18, 134, 154, 164, 185]"
1486254092,5,"[0, 17, 17, 134, 134, 153, 153, 167, 167, 181]","[0, 17, 134, 153, 167, 181]"
1486254096,5,"[0, 20, 20, 135, 135, 156, 156, 166, 166, 183]","[0, 20, 135, 156, 166, 183]"
1486254314,5,"[0, 17, 17, 132, 132, 153, 153, 164, 164, 181]","[0, 17, 132, 153, 164, 181]"
1486254318,5,"[0, 16, 16, 133, 133, 152, 152, 163, 163, 179]","[0, 16, 133, 152, 163, 179]"
1488254304,5,"[0, 16, 16, 142, 142, 162, 162, 172, 172, 188]","[0, 16, 142, 162, 172, 188]"
1488254308,5,"[0, 17, 17, 142, 142, 161, 161, 171, 171, 188]","[0, 17, 142, 161, 171, 188]"
1488254338,5,"[0, 17, 17, 130, 130, 150, 150, 160, 160, 174]","[0, 17, 130, 150, 160, 174]"
1488254342,5,"[0, 5, 5, 122, 122, 143, 143, 153, 153, 170]","[0, 5, 122, 143, 153, 170]"
1488254346,5,"[0, 19, 19, 139, 139, 159, 159, 169, 169, 187]","[0, 19, 139, 159, 169, 187]"
1488254358,5,"[0, 20, 20, 137, 137, 157, 157, 167, 167, 184]","[0, 20, 137, 157, 167, 184]"
1488254370,5,"[0, 18, 18, 134, 134, 156, 156, 166, 166, 183]","[0, 18, 134, 156, 166, 183]"
1488254374,5,"[0, 18, 18, 134, 134, 154, 154, 164, 164, 181]","[0, 18, 134, 154, 164, 181]"
1488254378,5,"[0, 20, 20, 136, 136, 157, 157, 168, 168, 185]","[0, 20, 136, 157, 168, 185]"
1488254382,5,"[0, 16, 16, 132, 132, 152, 152, 162, 162, 177]","[0, 16, 132, 152, 162, 177]"
